feature,gini_importance,mean_abs_shap,shap_normal,shap_borderline,shap_serious
hba1c_pct,0.20396000662625013,0.11940145754457597,0.10396268526075886,0.11935987424322643,0.13488181312974262
total_chol_mgdl,0.19621123327910137,0.10911164489014107,0.09496681135913398,0.11875458721316917,0.11361353609812001
fasting_glucose_mgdl,0.0673222503447709,0.043117600436479865,0.040868425680589474,0.05082803787039712,0.03765633775845302
age,0.06371145641291744,0.040591055833991196,0.04787354830243118,0.023730084333528814,0.05016953486601359
hdl_mgdl,0.05425667755842681,0.04024810921390157,0.053289032082603494,0.04901862709727607,0.018436668461825133
tg_hdl_ratio,0.04184278489136989,0.022739543658758216,0.023678026168356098,0.02068708513328037,0.02385351967463819
tc_hdl_ratio,0.04685890383698128,0.021211636941377426,0.026678184472230422,0.01711452225431216,0.01984220409758969
age_band,0.028925214511840956,0.019955427426779433,0.024229308688652428,0.011170068913756642,0.024466904677929228
ldl_mgdl,0.0234584491234969,0.013848868402807265,0.006813508592628938,0.018463587207050942,0.01626950940874191
mch,0.027695101226914497,0.012634011742118442,0.017906015851324925,0.015788831013084873,0.0042071883619455306
triglycerides_mgdl,0.021617879349407027,0.012578569658315974,0.0035632070616806407,0.01738310833182511,0.016789393581442172
rdw,0.017864419557959164,0.010924603798288588,0.015059830565430636,0.012117149798066289,0.005596831031368842
tyg_index,0.021861665174318798,0.010667078779518141,0.005648673429688959,0.01302210531693412,0.013330457591931348
sex_1,0.01457120293653568,0.008338953421065247,0.011771486164894927,0.012252330503080274,0.0009930435952205383
sex_2,0.012454183942193995,0.007754020065386005,0.010602386448567317,0.011458003545972822,0.0012016702016178756
alt,0.015223950020581417,0.007044195946555376,0.00741128950277454,0.008319086284763055,0.005402212052128533
creatinine,0.01734030573359091,0.006935334396504167,0.0026657232919456834,0.00854519196920866,0.009595087928358158
mcv,0.01523995110897002,0.006324828886788351,0.008290160173795889,0.007586618762569026,0.003097707724000139
ast,0.014035725510863501,0.006079499351521016,0.004748283155516164,0.0066400260504324345,0.006850188848614448
hemoglobin,0.01628984416002402,0.006068081119442289,0.00849696890539874,0.007692401238492924,0.002014873214435203
rbc,0.013960368657083657,0.00602535600910475,0.007918858388388876,0.006836652235409493,0.0033205574035158787
bun,0.012990490437951772,0.0059961765031040365,0.003589172113750177,0.007288345279591106,0.007111012115970825
hematocrit,0.014699945525153846,0.0055049634947136146,0.00735874786788839,0.006724997018275224,0.002431145597977229
alp,0.011673751106919488,0.004470169925750654,0.004365511728115947,0.0057294851969206155,0.003315512852215398
total_bilirubin,0.00907509091542471,0.003755614652736482,0.004139859804850504,0.003986010217847589,0.003140973935511353
mchc,0.008790114314020422,0.0028116523273984534,0.0023567756763600753,0.003610595301429757,0.002467586004405528
albumin,0.008069033736931401,0.0025901442069614757,0.0018030980726929722,0.003352078629629894,0.0026152559185615614
